codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
CKB-P01;ficha;Tras 2...d5: el centro exige una decisión;Ampliación A;;rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3;Blancas;"...d5 no solo ataca e4; libera el alfil de c8 y obliga al blanco a declarar su centro. Si llega 3.e5, el plan negro deja de ser «ganar e4» y pasa a atacar la base d4 mediante ...Af5, ...e6 y ...c5, o incluso ...c5 inmediato. El negro busca demostrar que el espacio blanco también puede convertirse en objetivo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;"...d5 no solo ataca e4; libera el alfil de c8 y obliga al blanco a declarar su centro. Si llega 3.e5, el plan negro deja de ser «ganar e4» y pasa a atacar la base d4 mediante ...Af5, ...e6 y ...c5, o incluso ...c5 inmediato. El negro busca demostrar que el espacio blanco también puede convertirse en objetivo.";Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P01
CKB-P02;ficha;3.e5: espacio y responsabilidad;Ampliación A;;rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3;Negras;el alfil en f5 participa en la presión sobre d3/c2 y, sobre todo, queda fuera de la cadena antes de ...e6. El negro acepta que pueda ser interrogado con h4 o Ad3 porque su objetivo estratégico principal es terminar el desarrollo y jugar ...c5.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P02
CKB-P03;ficha;...Af5: el alfil escapa de la cadena;Ampliación A;;rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4;Blancas;el alfil en f5 participa en la presión sobre d3/c2 y, sobre todo, queda fuera de la cadena antes de ...e6. El negro acepta que pueda ser interrogado con h4 o Ad3 porque su objetivo estratégico principal es terminar el desarrollo y jugar ...c5.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P03
CKB-P04;ficha;4.Cf3: desarrollo flexible;Ampliación A;;rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 4;Negras;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P04
CKB-P05;ficha;...e6: llega la estructura típica;Ampliación A;;rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq - 1 5;Negras;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P05
CKB-P06;ficha;5.Ae2: preparar el enroque;Ampliación A;;rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 0 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P06
CKB-P07;ficha;...c5: ataque a la base d4;Ampliación A;;rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq - 1 6;Negras;el enroque blanco elimina muchos trucos tácticos sobre el rey, de modo que el negro debe justificar ...c5 mediante actividad posicional: Cc6, Db6, Cxd4 o cambios que reduzcan el espacio. El objetivo ya no es «atrapar» al rey, sino transformar el centro en uno donde sus piezas tengan casillas.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P07
CKB-P08;ficha;6.O-O: rey seguro;Ampliación A;;r2qkbnr/pp3ppp/2n1p3/2ppPb2/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq - 2 7;Blancas;el enroque blanco elimina muchos trucos tácticos sobre el rey, de modo que el negro debe justificar ...c5 mediante actividad posicional: Cc6, Db6, Cxd4 o cambios que reduzcan el espacio. El objetivo ya no es «atrapar» al rey, sino transformar el centro en uno donde sus piezas tengan casillas.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P08
CKB-P09;ficha;...Cc6 aumenta la presión;Ampliación A;;r2qkbnr/pp3ppp/2n1p3/2ppPb2/3P4/4BN2/PPP1BPPP/RN1Q1RK1 b kq - 3 7;Negras;"si el negro mantiene Af5, Ad3 puede cambiar una pieza útil; si el centro se abre, Cxd4 puede activar un caballo; si ...h6 debilita casillas oscuras, esas casillas se convierten en objetivos de medio juego. Error típico: cambiar el alfil de f5 automáticamente cuando el cambio ayuda al negro a completar desarrollo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P09
CKB-P10;ficha;7.Ae3 sostiene el centro;Ampliación A;;r2qkbnr/pp3ppp/2n1p3/3pPb2/3N4/4B3/PPP1BPPP/RN1Q1RK1 b kq - 0 8;Negras;"si el negro mantiene Af5, Ad3 puede cambiar una pieza útil; si el centro se abre, Cxd4 puede activar un caballo; si ...h6 debilita casillas oscuras, esas casillas se convierten en objetivos de medio juego. Error típico: cambiar el alfil de f5 automáticamente cuando el cambio ayuda al negro a completar desarrollo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKB-P10
