codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
CKN-P01;ficha;La firma de la defensa;Ampliación A;1.e4 c6;rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas buscan ocupar d4 y ganar espacio.;Negras todavía no luchan por e4 con una pieza: preparan un golpe de peón estable.;Conectar con P02: el centro se desafía en la segunda jugada.;CKN-P01
CKN-P02;ficha;El golpe ...d5;Ampliación A;1.e4 c6 2.d4 d5;rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas deben elegir entre Avance, cambio o desarrollo que sostenga e4.;Negras atacan e4 y pretenden definir la estructura antes de desarrollar de forma automática.;Desde aquí se bifurca todo el repertorio.;CKN-P02
CKN-P03;ficha;Clásica: alfil fuera de la cadena;Ampliación A;1.e4 c6 2.d4 d5 3.Cc3 dxe4 4.Cxe4 Af5;rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas centralizan Cxe4 y ganan espacio temporal.;Negras desarrollan con tiempo sobre e4 y evitan encerrar el alfil con ...e6.;Continuar con ...Ag6, ...Cd7 y ...e6.;CKN-P03
CKN-P04;ficha;Clásica: coordinación antes de enrocar;Ampliación A;1.e4 c6 2.d4 d5 3.Cc3 dxe4 4.Cxe4 Af5 5.Cg3 Ag6 6.Cf3 Cd7;r2qkbnr/pp1npppp/2p3b1/8/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq - 5 7;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas pueden ganar espacio con h4-h5, pero ese avance no desarrolla piezas.;Negras refuerzan f6/e5/c5 y dejan g8 libre para el caballo natural.;P05 muestra cómo absorber el acoso al alfil.;CKN-P04
CKN-P05;ficha;Clásica: estructura sana y rey seguro;Ampliación A;1.e4 c6 2.d4 d5 3.Cc3 dxe4 4.Cxe4 Af5 5.Cg3 Ag6 6.Cf3 Cd7 7.h4 h6 8.h5 Ah7 9.Ad3 Axd3 10.Dxd3 e6;r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq - 0 11;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas han cambiado el alfil de casillas claras y pueden usar la dama activa.;Negras aceptan el cambio del alfil para reducir presión y consolidan d5/f5 con ...e6.;Preparar ...Cgf6, ...Ae7 y enroque.;CKN-P05
CKN-P06;ficha;Avance: 3...Af5;Ampliación A;1.e4 c6 2.d4 d5 3.e5 Af5;rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4;Blancas;el objetivo sigue siendo d4.;800-1400 Elo;Blancas ganan espacio con e5 y restringen Cf6.;Negras colocan el alfil fuera de la cadena y señalan d3/c2 antes de atacar d4.;P07 introduce el contragolpe que justifica la defensa.;CKN-P06
CKN-P07;ficha;Avance: ...c5 a tiempo;Ampliación A;1.e4 c6 2.d4 d5 3.e5 Af5 4.Cf3 e6 5.Ae2 c5;rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 0 6;Blancas;"Negras usan el peón c6 como ariete; ...c5 convierte la ventaja de espacio blanca en objetivo.";800-1400 Elo;Blancas quieren completar desarrollo y sostener e5-d4.;"Negras usan el peón c6 como ariete; ...c5 convierte la ventaja de espacio blanca en objetivo.";Comparar captura en d4 con mantener tensión.;CKN-P07
CKN-P08;ficha;Avance: caballo por e7-c8-b6;Ampliación A;1.e4 c6 2.d4 d5 3.e5 Af5 4.Cf3 e6 5.Ae2 c5 6.O-O Cc6 7.c3 cxd4 8.cxd4 Cge7;r2qkb1r/pp2nppp/2n1p3/3pPb2/3P4/5N2/PP2BPPP/RNBQ1RK1 w kq - 1 9;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas ya tienen un centro estable y buscan Cc3/Ae3.;Negras evitan bloquear la diagonal del alfil y preparan ...Cc8-b6 o ...Cf5 según la estructura.;Conectar con S02 y M02.;CKN-P08
CKN-P09;ficha;Cambio: simetría con tarea concreta;Ampliación A;1.e4 c6 2.d4 d5 3.exd5 cxd5;rnbqkbnr/pp2pppp/8/3p4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4;Blancas;el aislado como objetivo dinámico;800-1400 Elo;Blancas desarrollan Ad3 y pueden buscar c4 o Af4.;Negras recapturan con c6xd5 para mantener presencia central y abrir la columna c.;Preparar ...Cc6, ...Cf6 y actividad del alfil c8.;CKN-P09
CKN-P10;ficha;Panov: el aislado como objetivo dinámico;Ampliación A;1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Cf6 5.Cc3 e6;rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6;Blancas;el aislado como objetivo dinámico;800-1400 Elo;Blancas aceptan un futuro peón d aislado para ganar actividad.;"Negras juegan ...Cf6 y ...e6; primero bloquean y desarrollan, después atacan d4.";S04 muestra el final deseable para negras.;CKN-P10
